RANDOM
SNAPmobile Web 44.0.4 (Chrome 126.0.0.0)
SNAPmobile Web 43.3.1 (Chrome 112.0.0.0)
SNAPmobile Web 43.4.1 (Firefox 119.0)
SNAPmobile Web 43.4.1 (Chrome 120.0.0.0)
SNAPmobile Web 44.1.1 (Chrome 127.0.0.0)
NetSapiens NCS v44-1-3
SNAPmobile Web 44.1.1 (Chrome 129.0.0.0)
Yealink SIP-T53W 96.86.0.70
Yealink SIP-CP960 73.85.0.5
Acrobits SIPIS
Yealink W70B 146.85.0.25
Yealink W60B 77.85.0.25
SNAPmobile/2.6 (build 2118659; Android 14; arm64-v8a)
SNAPmobile Web 43.3.1 (Chrome 114.0.0.0)
PolycomSoundStationIP-SSIP_7000-UA/4.0.14.0987
Yealink SIP-T54W 96.86.0.70
Yealink SIP-T48G 35.83.0.120
Yealink SIP-T33G 124.86.0.40
Yealink SIP-T57W 96.86.0.70
Yealink SIP-T46S 66.86.0.15
Grandstream GXP2140 1.0.11.79
Yealink SIP-T58W 150.86.0.50
PolycomVVX-VVX_401-UA/5.9.4.3247
Yealink SIP-T53W 96.86.0.45
Yealink SIP-T46S 66.86.0.160
Yealink SIP-T48S 66.86.0.15
PolycomVVX-VVX_350-UA/6.4.6.2681
Teams Connector
PolycomVVX-VVX_450-UA/6.0.0.4796
PolycomSoundStationIP-SSIP_7000-UA/4.0.15.1009
Yealink SIP-T54W 96.86.0.45
Yealink SIP-T41S 66.86.0.76
Grandstream WP820 1.0.7.43
VOIP PR4 SV4.03()
Teams Connector
Yealink SIP-T41S 66.86.0.15
Yealink SIP-T58W 150.86.0.35
Yealink SIP-T53W 96.85.0.5
PolycomVVX-VVX_600-UA/5.7.0.11768
Algo-8180g2/4.3
Yealink SIP-T54W 96.86.0.153
Yealink SIP-T48S 66.86.0.160
Yealink SIP-T46G 28.83.0.120
Yealink SIP-T46S 66.86.0.5
Grandstream WP820 1.0.7.61
Z 5.5.10 v2.10.17.3
Teams Connector
PolyEdge-Edge_E350-UA/8.0.0.15602
snomPA1/8.7.3.19
Teams Connector
Yealink W70B 146.85.0.40
PolycomVVX-VVX_301-UA/6.4.6.2453
Yealink SIP-T53W 95.84.0.35
Grandstream WP820 1.0.7.50
PolyEdge-Edge_E450-UA/8.0.0.15602
Yealink SIP-T57W 96.86.0.153
PolyEdge-Edge_E350-UA/8.2.1.0820
3CXPhoneSystem
Yealink SIP-T48U 108.86.0.45
Telephone 1.6
Yealink SIP-T42S 66.86.0.160
Grandstream GXW4224  V2.5A 1.0.23.7
PolycomVVX-VVX_250-UA/5.9.5.0614
Yealink W52P 25.81.0.60
Grandstream HT818 1.0.41.2
PolycomVVX-VVX_410-UA/5.5.3.2169
Yealink SIP-T43U 108.86.0.45
Grandstream WP820 1.0.7.66
PolyEdge-Edge_E220-UA/8.0.0.15602
PolyCCX-CCX_600-UA/8.0.2.2337
Yealink SIP-T58W 150.86.0.5
PolycomVVX-VVX_450-UA/5.9.6.2996
Yealink SIP-T57W 96.86.0.23
Yealink SIP-T57W 96.86.0.127
Grandstream WP820 1.0.7.30
Acrobits Webis/1.32 (build 1574407~82d2e47)
SNAPmobile/2.0 (build 2063066; iOS 17.1.1; arm64-neon)
SNAPmobile/2.0 (build 2063066; iOS 17.3.1; arm64-neon)
SNAPmobile/1.5
SNAPmobile/2.9 (build 2142260; iOS 17.5.1; arm64-neon)
SNAPmobile/1.17 (build 1925489; iOS 16.3.1; arm64-neon)
SNAPmobile/1.14 (build 1867276; iOS 16.3.1; arm64-neon)
SNAPmobile/1.14 (build 1867276; iOS 16.4.1; arm64-neon)
SNAPmobile/1.9 (build 1777414; iOS 15.6.1; arm64-neon)
Teams Connector
SNAPmobile/1.18 (build 1978573; iOS 17.2.1; arm64-neon)
SNAPmobile/2.6 (build 2110559; iOS 18.0; arm64-neon)
SNAPmobile/1.17 (build 1925489; iOS 16.4.1; arm64-neon)
SNAPmobile/1.18 (build 1978573; iOS 16.3.1; arm64-neon)
SNAPmobile/2.10 (build 2154251; iOS 17.6.1; arm64-neon)
SNAPmobile/1.18 (build 1978573; iOS 16.7; arm64-neon)
SNAPmobile/1.17 (build 1925489; iOS 16.3; arm64-neon)
SNAPmobile/1.13 (build 1837338; iOS 16.1.2; arm64-neon)
SNAPmobile/1.2
SNAPmobile/2.0 (build 2063066; iOS 17.2.1; arm64-neon)
SNAPmobile/1.14 (build 1867276; iOS 16.0.3; arm64-neon)
SNAPmobile/1.17 (build 1925489; iOS 16.6; arm64-neon)
SNAPmobile/1.4
SNAPmobile/2.6 (build 2110559; iOS 17.5.1; arm64-neon)
SNAPmobile/2.6 (build 2110559; iOS 17.4.1; arm64-neon)
SNAPmobile/1.14 (build 1867276; iOS 16.1.1; arm64-neon)
SNAPmobile/1.18 (build 1978573; iOS 16.6.1; arm64-neon)
SNAPmobile/2.0 (build 2063066; iOS 17.4.1; arm64-neon)
SNAPmobile/2.0 (build 2062556; Android 13; arm64-v8a)
